TIPO;PRODUTO;MARCA;CESTA;COLETA;SUPERMECADO;CIDADE;MESREF;;
Alimentação;Alho (kg);0;P;29,5;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Banana Nanica (Kg);0;D;3,79;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Batata (kg);0;D/P;2,69;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Cebola (kg);0;P;2,89;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Tomate (kg);0;D;4,49;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Ovos Brancos (dz);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Ovos Brancos (dz);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Ovos Brancos (dz);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Primeira (kg);Filet Mignon;D/P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Primeira (kg);Picanha;D/P;57,95;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Primeira (kg);Alcatra;D/P;26,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Primeira (kg);Contrafilé;D/P;35,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Primeira (kg);Alcatra;D/P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Primeira (kg);Coxão Mole;D/P;20,5;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Primeira (kg);Patinho;D/P;19,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Segunda (kg);Acém;P;16,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Segunda (kg);Músculo;P;19,5;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Segunda (kg);Coxão Duro;P;19,5;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Segunda (kg);Costela;P;12,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Carne de Segunda (kg);Paleta;P;17,5;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Frango - Resfriado Inteiro (kg);Copacol;P;6,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Frango - Resfriado Inteiro (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Frango - Resfriado Inteiro (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Frango - Filé de Peito (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Frango - Filé de Peito (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Frango - Filé de Peito (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Suíno - Linguiça Fresca - Tipo Toscana (kg);Sadia;P;17,99;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Suíno - Linguiça Fresca - Tipo Toscana (kg);Seara;P;15,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Suíno - Linguiça Fresca - Tipo Toscana (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Suíno - Lombo sem osso (kg);0;P;19,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Suíno - Lombo sem osso (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Suíno - Lombo sem osso (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Salsicha Avulsa (kg);Sadia;P;14,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Salsicha Avulsa (kg);Perdigão;P;8,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Salsicha Avulsa (kg);Seara;P;8,39;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Queijo Muçarela Fatiado (kg);0;P;25,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Queijo Muçarela Fatiado (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Queijo Muçarela Fatiado (kg);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Arroz (pacote 5 kg);Dona Milú;D/P;10,78;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Arroz (pacote 5 kg);Rosalito;D/P;12,89;Barretense (Cristiano Carvalho);Barretos;mar-17;;
